#node	date	numeric date
A/Red-tailed_Hawk/Minnesota/USDA-011871-001/2022|EPI_ISL_18132378|2022-04-15	2022-04-15	2022.286301
A/Wood_Duck/Minnesota/USDA-012000-003/2022|EPI_ISL_18132534|2022-04-18	2022-04-18	2022.294521
A/Red-tailed_Hawk/Minnesota/USDA-012668-002/2022|EPI_ISL_18132357|2022-04-25	2022-04-25	2022.313699
A/fisher/Wisconsin/22-019946-001-original/2022|EPI_ISL_17260683|2022-04-14	2022-04-14	2022.283562
NODE_0002795	2022-05-19	2022.379452
A/turkey/Minnesota/22-015885-001-original/2022|EPI_ISL_16244024|2022-05-19	2022-05-19	2022.379452
A/turkey/Minnesota/22-015885-002-original/2022|EPI_ISL_16244025|2022-05-19	2022-05-19	2022.379452
NODE_0002799	2022-04-22	2022.305479
A/Backyard_bird/Michigan/USDA-012454-002/2022|EPI_ISL_18133209|2022-04-22	2022-04-22	2022.305479
A/domestic_goose/Michigan/22-012454-002-original/2022|EPI_ISL_16171407|2022-04-22	2022-04-22	2022.305479
NODE_0002800	2022-04-26	2022.316438
A/Backyard_bird/Wisconsin/USDA-013183-003/2022|EPI_ISL_18133000|2022-04-26	2022-04-26	2022.316438
A/Backyard_bird/Wisconsin/USDA-013183-004/2022|EPI_ISL_18132996|2022-04-26	2022-04-26	2022.316438
A/peacock/Wisconsin/22-013183-005-original/2022|EPI_ISL_16171479|2022-04-26	2022-04-26	2022.316438
A/guinea_fowl/Wisconsin/22-013183-003-original/2022|EPI_ISL_16171477|2022-04-26	2022-04-26	2022.316438
A/domestic_duck/Wisconsin/22-013183-004-original/2022|EPI_ISL_16171478|2022-04-26	2022-04-26	2022.316438
A/turkey/Wisconsin/22-013183-002-original/2022|EPI_ISL_16171476|2022-04-26	2022-04-26	2022.316438
A/Backyard_bird/Wisconsin/USDA-013183-002/2022|EPI_ISL_18133132|2022-04-26	2022-04-26	2022.316438
A/Backyard_bird/Wisconsin/USDA-013183-005/2022|EPI_ISL_18132992|2022-04-26	2022-04-26	2022.316438
NODE_0000093	2022-03-28	2022.237975
A/fox/Minnesota/22-016487-001-original/2022|EPI_ISL_15078249|2022-05-13	2022-05-13	2022.363014
NODE_0000095	2022-03-29	2022.239008
NODE_0002796	2022-05-18	2022.376712
A/chicken/Minnesota/22-015759-002-original/2022|EPI_ISL_16244020|2022-05-18	2022-05-18	2022.376712
A/chicken/Minnesota/22-015759-001-original/2022|EPI_ISL_16244019|2022-05-18	2022-05-18	2022.376712
A/turkey/Minnesota/22-015759-003-original/2022|EPI_ISL_16244021|2022-05-18	2022-05-18	2022.376712
NODE_0000152	2022-03-29	2022.239726
A/American_Crow/Minnesota/USDA-009668-001/2022|EPI_ISL_18133069|2022-03-29	2022-03-29	2022.239726
NODE_0000157	2022-04-02	2022.251988
NODE_0000158	2022-04-03	2022.252707
A/turkey/Minnesota/22-036547-001-original/2022|EPI_ISL_16271859|2022-11-13	2022-11-13	2022.867123
NODE_0000159	2022-04-03	2022.253425
A/Great_Horned_Owl/Minnesota/USDA-010354-001/2022|EPI_ISL_18133527|2022-04-03	2022-04-03	2022.253425
NODE_0000160	2022-04-05	2022.258186
